YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2001,2,23,24.96,24.08,24.52,25.08,0.82,25.31,24.49,18.68,94.75,23.85
2001,2,24,24.83,22.72,23.77,25.18,1.32,25.51,24.19,17.15,88.12,32.99
2001,2,25,23.37,19.51,21.44,25.35,0.94,23.94,23,13.98,78.88,3.28
2001,2,26,24.32,20.68,22.5,25.17,1.3,24.9,23.6,15.08,80.06,4.02
2001,2,27,25.12,22.5,23.81,24.98,0.49,25.28,24.8,16.85,85.31,3.1
2001,2,28,25.26,23.99,24.62,24.94,0.3,25.4,25.11,18.49,92.5,10.43
2001,3,1,24.73,22.69,23.71,25.09,1.26,25.25,23.99,17.15,88.5,4.1
2001,3,2,23.53,19.35,21.44,25.19,0.51,23.85,23.33,13.85,77.31,0.94
2001,3,3,24.27,19.84,22.06,25.21,0.91,24.61,23.69,14.28,76.25,0.02
2001,3,4,23.97,19.62,21.8,25.42,1.36,24.78,23.42,14.1,76.62,0.8
2001,3,5,23.45,18.94,21.19,25.58,1.24,24.15,22.9,13.49,75.69,0.29
2001,3,6,24.68,21.07,22.87,25.48,1.02,25.16,24.15,15.44,80.25,0.2
2001,3,7,25.33,22.68,24,25.57,0.54,25.64,25.1,17.03,85.12,0.87
2001,3,8,23.77,20.56,22.16,25.48,2.13,24.95,22.83,14.95,82.12,2.69
2001,3,9,22.64,18.54,20.59,25.05,0.29,22.8,22.51,13.12,77.56,1.44
2001,3,10,23.48,19.55,21.51,25.14,1.34,24.07,22.73,13.98,78.5,0.52
2001,3,11,24.55,20.44,22.5,25.42,1.1,25.11,24.01,14.83,77.75,0.65
2001,3,12,23.8,19.75,21.77,25.63,1.75,24.4,22.65,14.22,77.94,0.8
2001,3,13,22.71,18.25,20.48,25.76,1.38,23.5,22.12,12.88,75.81,0.06
2001,3,14,24.33,20.19,22.26,25.9,1.45,24.96,23.51,14.59,77.62,0.09
2001,3,15,25.29,21.07,23.18,26.01,0.82,25.69,24.87,15.44,77.38,0.11
2001,3,16,25.9,23.35,24.62,25.96,0.82,26.33,25.51,17.82,85.69,0.41
2001,3,17,26.26,24.41,25.34,26.23,0.4,26.48,26.08,19.04,89.44,0.73
2001,3,18,26.32,24.9,25.61,26.59,0.52,26.57,26.05,19.53,91.75,1.26
2001,3,19,26.53,24.4,25.47,26.69,1.08,26.95,25.87,18.98,88.06,1.13
2001,3,20,26.76,23.24,25,26.84,0.48,27.01,26.53,17.7,81.06,0.02
2001,3,21,26.2,23.24,24.73,26.98,0.88,26.69,25.81,17.7,83.69,0.02
2001,3,22,26.08,23.01,24.55,27.07,0.91,26.53,25.62,17.52,83.12,0.4
2001,3,23,27.13,23.3,25.22,27.37,1.04,27.58,26.55,17.82,79.56,0.68
2001,3,24,27.29,23.18,25.23,27.76,0.66,27.66,27,17.7,78.31,0.01
2001,3,25,27.06,22.91,24.98,28.03,0.49,27.29,26.8,17.4,77.94,2.55
2001,3,26,26.08,23.22,24.65,28.12,1.01,26.58,25.56,17.76,84.19,35.42
2001,3,27,26.67,24.32,25.5,28.08,1.73,27.4,25.67,19.04,86.81,26.89
2001,3,28,25.93,23.33,24.63,27.96,1.27,26.76,25.48,17.88,85.5,13.29
2001,3,29,25.12,21.83,23.48,27.23,1.72,25.84,24.12,16.3,81.88,6.55
2001,3,30,24.16,20.17,22.16,26.31,0.62,24.44,23.82,14.59,78.31,1.33
2001,3,31,24.6,20.63,22.62,26.18,0.33,24.76,24.44,15.01,78.5,0.71
2001,4,1,24.98,20.31,22.65,26.35,0.68,25.28,24.6,14.71,75.19,0.01
2001,4,2,26.07,22.51,24.29,26.76,1.48,26.68,25.2,16.97,80.69,0.74
2001,4,3,26.86,24.22,25.54,27.42,0.5,27.15,26.65,18.8,85.38,1.19
2001,4,4,26.58,23.62,25.1,27.65,0.4,26.72,26.32,18.13,83.69,0.22
2001,4,5,27.1,23.73,25.42,27.63,0.97,27.55,26.58,18.25,81.81,0.8
2001,4,6,27.14,23.73,25.44,27.73,0.56,27.37,26.81,18.25,81.56,0.37
2001,4,7,27.37,23.65,25.51,27.76,0.95,27.6,26.65,18.13,80.06,1.98
2001,4,8,26.9,23.25,25.08,28.15,1.32,27.52,26.2,17.76,80.31,0.12
2001,4,9,27.34,23.87,25.61,28.36,0.93,27.66,26.73,18.43,81.38,0.34
2001,4,10,26.78,23.26,25.02,28.04,0.91,27.27,26.37,17.76,81.06,1.52
2001,4,11,26.2,21.55,23.88,27.29,0.41,26.42,26,15.99,75.56,0.32
2001,4,12,25.43,22.11,23.77,26.96,1,26.19,25.19,16.48,81.75,1.45
2001,4,13,25.93,22.47,24.19,26.9,1.45,26.55,25.1,16.85,81.12,0.79
2001,4,14,26.8,23.39,25.09,27.01,0.95,27.15,26.19,17.76,81.5,2.02
2001,4,15,27.01,23.97,25.49,27.2,0.63,27.26,26.63,18.43,83.38,3.74
2001,4,16,27.84,24.56,26.2,28.08,1.44,28.4,26.97,19.17,82.25,2.43
2001,4,17,27.52,24.66,26.09,28.51,1.06,28.05,26.99,19.35,84.31,0.64
2001,4,18,27.22,23.32,25.27,28.3,0.77,27.68,26.91,17.82,79.19,0.49
2001,4,19,27.6,24.42,26.01,28.05,1.02,27.9,26.9,19.1,82.75,0.62
2001,4,20,28.22,25,26.61,28.23,0.79,28.67,27.88,19.78,82.62,0.57
2001,4,21,28.12,24.9,26.51,28.56,0.69,28.44,27.76,19.65,82.62,1.13
2001,4,22,27.79,24.46,26.12,28.71,0.85,28.21,27.36,19.1,82,1.24
2001,4,23,27.76,24.07,25.92,28.64,0.5,28.02,27.52,18.62,80.25,0.24
2001,4,24,28.05,24.48,26.26,28.5,0.97,28.5,27.53,19.1,80.88,1.1
2001,4,25,28.14,25.65,26.9,28.53,0.66,28.39,27.74,20.51,86.31,8.01
2001,4,26,27.19,24.83,26.01,28.26,0.68,27.63,26.95,19.47,86.81,4.29
2001,4,27,27.66,25.29,26.48,28.12,1.43,28.36,26.92,20.02,86.81,1.68
2001,4,28,28.55,25.09,26.83,28.6,0.48,28.81,28.33,19.84,81.44,0.71
2001,4,29,29.01,25.23,27.12,29.33,0.74,29.38,28.63,19.96,79.94,0.41
2001,4,30,28.79,25.03,26.91,29.81,0.8,29.05,28.24,19.71,80.06,0.13
2001,5,1,28.09,24.58,26.33,29.73,0.66,28.48,27.82,19.23,81.12,0.18
2001,5,2,28.15,24.62,26.38,29.48,0.59,28.37,27.77,19.29,81.12,0.59
2001,5,3,28.3,24.71,26.51,29.02,0.69,28.61,27.92,19.35,80.81,2.23
2001,5,4,28.01,24.53,26.26,28.68,0.53,28.19,27.67,19.17,81.38,0.79
2001,5,5,28.69,25.01,26.85,29.46,0.92,29.07,28.15,19.71,80.44,1.13
2001,5,6,28.79,24.64,26.72,29.9,0.35,28.92,28.56,19.29,78.25,0.45
2001,5,7,28.56,24.88,26.73,29.57,0.38,28.72,28.34,19.65,80.38,0.43
2001,5,8,28.64,24.76,26.69,29.39,0.75,29,28.25,19.53,79.5,0.5
2001,5,9,28.72,25.2,26.96,29.15,0.94,29.15,28.22,20.02,81.25,1.94
2001,5,10,28.58,26.01,27.3,28.93,0.95,29,28.05,21,85.88,14.48
2001,5,11,27.83,26.24,27.04,28.62,0.92,28.3,27.37,21.36,91,39.26
2001,5,12,28.08,26.44,27.26,28.41,0.74,28.54,27.79,21.67,90.75,48.44
2001,5,13,28.47,25.81,27.14,28.48,0.5,28.58,28.08,20.87,85.56,89.3
2001,5,14,28.34,24.87,26.61,28.5,0.52,28.55,28.04,19.59,81.38,1.8
2001,5,15,28.13,25.31,26.73,29.4,1.4,28.88,27.48,20.08,84.69,15.95
2001,5,16,28.67,25.42,27.05,29.91,0.37,28.89,28.51,20.2,82.5,9.75
2001,5,17,29.07,25.65,27.37,29.89,0.73,29.4,28.66,20.51,81.75,4.45
2001,5,18,28.86,25.3,27.08,29.74,0.54,29.13,28.59,20.08,81,1.92
2001,5,19,29.02,24.96,26.99,29.64,1,29.48,28.47,19.71,78.69,6.88
2001,5,20,28.95,25.72,27.33,29.23,0.5,29.24,28.74,20.69,82.69,16.33
2001,5,21,28.76,26.35,27.56,29.01,0.23,28.87,28.64,21.48,86.69,11.52
2001,5,22,28.96,26.78,27.87,29,0.46,29.14,28.67,22.09,87.94,12.29
2001,5,23,28.51,25.9,27.21,28.94,0.71,28.96,28.24,20.94,85.75,20.79
2001,5,24,28.09,25.38,26.73,28.92,0.66,28.45,27.8,20.26,85.12,16.75
2001,5,25,26.99,24.36,25.67,28.7,1.45,27.74,26.29,19.04,85.44,9.02
2001,5,26,28.03,25.69,26.86,28.66,1,28.59,27.59,20.63,87,8.39
2001,5,27,28.09,25.82,26.95,28.78,0.91,28.51,27.62,20.75,87.38,9.49
2001,5,28,27.87,25.74,26.8,28.85,0.95,28.34,27.39,20.69,88.12,15.12
2001,5,29,28.5,25.88,27.19,28.78,0.7,28.75,28.05,20.87,85.62,13.3
2001,5,30,28.67,26.17,27.42,28.67,0.15,28.73,28.58,21.24,86.25,13.72
2001,5,31,28.28,25.72,27,28.65,0.84,28.59,27.75,20.63,85.94,5.47
2001,6,1,27.74,25.14,26.44,28.65,0.95,28.23,27.29,19.9,85.69,6.99
2001,6,2,28.59,25.89,27.24,28.54,0.65,28.88,28.23,20.75,85.19,5.73
2001,6,3,29.1,25.95,27.53,29.58,1.02,29.66,28.65,20.87,83.12,3.25
2001,6,4,29.45,25.34,27.4,30.23,0.62,29.66,29.05,20.2,78.56,2.76
2001,6,5,29.05,25.22,27.13,30.13,0.3,29.18,28.88,20.02,79.75,2.7
2001,6,6,28.89,24.24,26.57,30.13,0.62,29.17,28.55,18.86,75.94,3.36
2001,6,7,29.23,24.33,26.78,30.07,0.42,29.43,29.01,18.98,74.88,3.03
2001,6,8,29.07,24.78,26.93,29.94,0.97,29.53,28.57,19.53,77.62,2.86
2001,6,9,29.01,25.17,27.09,29.87,0.34,29.15,28.8,19.96,79.75,2.85
2001,6,10,29.13,24.88,27.01,30.23,0.38,29.26,28.88,19.65,77.88,2.89
2001,6,11,29.33,25.27,27.3,30.47,0.88,29.8,28.91,20.14,78.75,4.01
2001,6,12,29.12,25.8,27.46,30.37,0.62,29.37,28.74,20.75,82.19,4.63
2001,6,13,29.31,25.77,27.54,30.05,0.46,29.56,29.11,20.75,81.19,7.22
2001,6,14,29.51,26.15,27.83,29.87,0.19,29.58,29.4,21.18,82.06,5.62
2001,6,15,29.42,25.55,27.48,30.22,0.45,29.64,29.19,20.45,79.62,12.68
2001,6,16,29.41,25.33,27.37,30.66,0.77,29.94,29.17,20.14,78.62,8.67
2001,6,17,30,25.24,27.62,30.67,0.55,30.3,29.75,20.08,75.69,8.73
2001,6,18,29.52,26.71,28.12,30.3,0.73,29.89,29.15,21.97,84.75,27.4
2001,6,19,29.15,26.57,27.86,30.05,1.35,29.62,28.26,21.85,85.94,27.99
2001,6,20,28.47,25.81,27.14,29.77,1.02,29.14,28.12,20.87,85.5,8.48
2001,6,21,29.32,26.17,27.74,29.48,0.39,29.47,29.08,21.3,83.12,8.59
2001,6,22,29.01,26.67,27.84,29.32,0.77,29.33,28.55,22.03,87.06,35.99
2001,6,23,28.91,26.29,27.6,29.23,0.94,29.11,28.17,21.42,85.69,54.57
2001,6,24,28.11,25.81,26.96,29.22,0.81,28.52,27.71,20.75,87.25,31.85
2001,6,25,28.99,24.98,26.98,29.15,1.13,29.2,28.07,19.71,78.94,7.04
2001,6,26,28.69,24.76,26.72,29.21,0.55,28.95,28.4,19.47,79.25,2.82
2001,6,27,28.52,25.32,26.92,29.4,1.73,29.5,27.77,20.14,82.75,3.43
2001,6,28,29.06,25.54,27.3,29.85,0.48,29.36,28.88,20.39,81.25,1.22
2001,6,29,29.05,25.8,27.42,30.08,0.95,29.63,28.68,20.75,82.5,4.6
2001,6,30,29.34,26.19,27.76,29.65,0.36,29.57,29.22,21.24,83,9.36
2001,7,1,29.14,26.14,27.64,29.34,0.39,29.27,28.88,21.18,83.81,8.1
2001,7,2,28.97,24.9,26.93,29.3,1.06,29.49,28.43,19.65,78.69,8.64
2001,7,3,29.33,25.3,27.32,29.38,0.55,29.56,29.01,20.26,79,13.15
2001,7,4,29.48,26.31,27.9,29.4,1.67,30.62,28.95,21.97,83.19,64.12
2001,7,5,28.75,24.33,26.54,28.55,1.44,29.69,28.25,19.29,77.06,8.47
2001,7,6,28.47,26.39,27.43,28.28,0.47,28.65,28.19,21.61,88.44,4.21
2001,7,7,28.03,25.48,26.76,28.51,1.25,28.51,27.26,20.39,86,2.11
2001,7,8,28.42,25.58,27,28.76,0.7,28.75,28.05,20.45,84.56,4.52
2001,7,9,28.4,25.33,26.87,28.9,0.2,28.52,28.33,20.2,83.44,7.98
2001,7,10,28.49,25.71,27.1,28.88,0.67,28.77,28.1,20.69,84.81,21.45
2001,7,11,28.08,25.34,26.72,28.81,0.77,28.5,27.73,20.2,84.94,11.46
2001,7,12,28.03,24.15,26.09,28.63,0.23,28.15,27.92,18.86,79.44,6.91
2001,7,13,28.18,25.03,26.6,28.69,0.39,28.35,27.96,19.84,82.94,9.13
2001,7,14,27.79,24.94,26.37,28.8,0.62,28.19,27.57,19.71,84.44,17.81
2001,7,15,27.13,25.01,26.07,28.62,0.61,27.51,26.9,19.78,88.12,23.23
2001,7,16,27.91,25.3,26.6,28.4,0.97,28.22,27.24,20.08,85.56,18.53
2001,7,17,27.76,25.3,26.53,28.19,0.7,28.05,27.35,20.14,86.38,16.55
2001,7,18,28,25.8,26.9,28.08,0.43,28.2,27.77,20.81,87.81,14.79
2001,7,19,28.08,25.23,26.65,28.22,0.57,28.17,27.6,20.08,84.44,20.41
2001,7,20,27.44,25.07,26.25,28.52,0.88,27.94,27.06,19.9,86.81,17.4
2001,7,21,28.56,25.42,26.99,29.3,1.02,28.9,27.88,20.26,83.06,3.99
2001,7,22,28.85,25.3,27.07,29.56,0.89,29.24,28.35,20.08,81.06,5.11
2001,7,23,28.42,26.12,27.27,29.22,0.88,28.9,28.02,21.24,87.31,20.66
2001,7,24,28.13,26.03,27.08,28.34,0.55,28.39,27.84,21.12,88.25,13.97
2001,7,25,28.14,24.63,26.39,28.5,1.41,28.71,27.3,19.41,81.38,12.64
2001,7,26,28.19,25.4,26.8,28.96,0.55,28.38,27.82,20.26,84.81,7.97
2001,7,27,28.6,25.9,27.25,29.16,1.11,29.12,28.01,20.87,85.31,9.36
2001,7,28,29.07,26.06,27.57,29.22,0.52,29.33,28.81,21.18,83.75,22.23
2001,7,29,28.58,25.93,27.26,29.19,0.55,28.88,28.34,21,85.44,37.82
2001,7,30,28.7,25.91,27.3,29.01,0.3,28.85,28.55,20.87,84.75,18.74
2001,7,31,28.3,25.68,26.99,28.82,0.33,28.5,28.17,20.63,85.56,6.77
2001,8,1,27.62,25.32,26.48,29.15,0.71,28.05,27.34,20.2,87.12,11.15
2001,8,2,27.99,25.17,26.58,29.3,1.45,28.73,27.28,20.02,84.56,2.78
2001,8,3,28.8,24.96,26.88,29.06,0.82,29.21,28.39,19.71,79.69,1.21
2001,8,4,29.01,26.19,27.6,28.98,0.39,29.15,28.76,21.18,84.62,5.23
2001,8,5,28.68,26.05,27.37,29.07,0.53,28.98,28.44,21,85.56,5.83
2001,8,6,28.4,25.72,27.06,29.08,0.27,28.52,28.25,20.63,85.31,5.41
2001,8,7,28.26,25.61,26.94,29.26,0.36,28.43,28.07,20.57,85.38,3.72
2001,8,8,28.72,25.76,27.24,29.47,0.74,29.05,28.31,20.75,83.94,2.04
2001,8,9,29.11,26.3,27.7,29.83,0.65,29.5,28.84,21.36,84.75,3.97
2001,8,10,29.32,26.04,27.68,30.26,0.59,29.58,28.99,21,82.5,4.5
2001,8,11,28.94,25.65,27.3,30.48,0.6,29.22,28.61,20.51,82.38,6.1
2001,8,12,29.41,26.14,27.77,30.33,0.81,29.83,29.02,21.18,82.5,5
2001,8,13,29.26,25.95,27.61,29.61,0.48,29.58,29.09,21,82.31,8.56
2001,8,14,29.11,26.18,27.65,29.25,0.26,29.26,29.01,21.3,84.19,12.76
2001,8,15,28.73,26.08,27.4,29.23,0.51,29.05,28.55,21.18,85.44,9.55
2001,8,16,28.75,26.09,27.42,29.32,0.91,29.26,28.36,21.24,85.5,7.65
2001,8,17,29.34,25.83,27.58,29.6,0.83,29.77,28.94,20.94,81.31,3.21
2001,8,18,29.84,24.86,27.35,29.84,1.11,30.4,29.29,19.78,74.69,0.87
2001,8,19,29.98,24.53,27.26,29.69,0.67,30.29,29.61,19.35,72.62,0.32
2001,8,20,29.55,25.31,27.43,29.49,0.29,29.68,29.39,20.26,77.88,0.29
2001,8,21,28.58,26.12,27.34,29.36,1.78,29.51,27.73,21.24,86.5,1.41
2001,8,22,28.64,26.44,27.54,29.05,0.28,28.8,28.52,21.67,87.81,7.15
2001,8,23,28.4,25.83,27.12,28.89,0.8,28.8,28,20.94,85.88,13.47
2001,8,24,28.44,26.3,27.37,28.87,1.35,28.87,27.52,21.55,88.12,47.45
2001,8,25,28.12,25.5,26.81,28.87,1.02,28.63,27.61,20.51,85.62,7.47
2001,8,26,28.69,25.28,26.98,28.79,0.72,29.04,28.32,20.2,81.75,13.46
2001,8,27,27.88,25.37,26.62,28.76,0.68,28.31,27.63,20.32,86.12,17.02
2001,8,28,27.72,25.41,26.57,28.95,0.59,27.99,27.4,20.39,87.19,13.96
2001,8,29,27.88,25.4,26.64,29.12,1.12,28.51,27.4,20.32,86.31,10
2001,8,30,28.32,25.98,27.15,29.18,0.63,28.62,27.98,21,87,7.78
2001,8,31,28.51,25.83,27.16,29.15,0.46,28.74,28.28,20.81,85.38,12.17
2001,9,1,28.44,26.01,27.23,29.17,0.57,28.68,28.11,21.06,86.62,17.57
2001,9,2,27.85,25.9,26.88,28.47,1.13,28.5,27.37,20.94,89.06,22.66
2001,9,3,27.45,25.28,26.37,28.08,0.4,27.72,27.32,20.14,87.81,19.29
2001,9,4,27.47,25.53,26.5,28.35,0.43,27.72,27.29,20.39,89.06,10.41
2001,9,5,28.03,25.52,26.77,28.58,1.12,28.55,27.43,20.39,86.19,20.02
2001,9,6,28.44,25.88,27.16,28.79,0.47,28.67,28.2,20.81,85.94,21.65
2001,9,7,28.08,25.64,26.86,28.87,0.41,28.31,27.9,20.57,86.56,47.13
2001,9,8,28.01,25.46,26.73,28.73,0.61,28.34,27.73,20.39,86,48.43
2001,9,9,27.49,24.43,25.96,28.71,1.02,27.94,26.92,19.17,83.38,13.4
2001,9,10,27,23.4,25.2,28.52,0.69,27.37,26.68,17.94,80.62,10.23
2001,9,11,27.14,24.26,25.7,28.26,0.64,27.51,26.87,18.92,84.25,11.09
2001,9,12,27.99,24.16,26.08,28.47,1.68,28.73,27.05,18.8,79.69,4.1
2001,9,13,28.33,24.26,26.3,28.87,0.42,28.53,28.11,18.92,78.56,2.7
2001,9,14,28.03,23.79,25.91,29.17,0.44,28.19,27.76,18.37,77.69,9.29
2001,9,15,28.35,23.84,26.09,29.21,0.54,28.59,28.05,18.43,76.5,2.8
2001,9,16,28.64,24.59,26.62,29.09,0.47,28.87,28.39,19.35,78.69,6.42
2001,9,17,28.83,25.08,26.96,29.04,0.3,28.98,28.67,19.9,80.12,2.57
2001,9,18,28.9,24.98,26.94,29.12,0.47,29.17,28.7,19.78,79.31,11.26
2001,9,19,28.9,24.94,26.92,29.44,0.49,29.11,28.62,19.71,79.12,16.22
2001,9,20,28.42,24.74,26.58,29.55,0.49,28.66,28.17,19.47,80.44,20.55
2001,9,21,28.8,25.85,27.32,29.44,1.23,29.25,28.02,20.81,84,33.6
2001,9,22,28.83,25.56,27.19,29.28,0.4,29.03,28.63,20.51,82.5,39.96
2001,9,23,28.45,25.83,27.15,28.77,0.7,28.73,28.02,20.94,85.69,25.35
2001,9,24,28.22,26.72,27.47,28.37,0.52,28.41,27.89,22.22,91.44,46.41
2001,9,25,27.87,26.37,27.12,28.32,0.89,28.25,27.35,21.85,91.44,33.35
2001,9,26,27.86,25.38,26.62,28.3,0.46,28.01,27.55,20.51,86.31,31.56
2001,9,27,27.87,24.85,26.36,28.14,0.89,28.37,27.48,19.65,83.56,12.58
2001,9,28,28.08,24.86,26.47,27.84,0.48,28.33,27.85,19.65,82.56,4.09
2001,9,29,27.81,24.47,26.14,27.73,0.56,28.05,27.48,19.1,81.94,1.68
2001,9,30,28.01,25.06,26.54,27.88,0.46,28.19,27.73,19.84,83.88,3.73
2001,10,1,27.79,25.29,26.54,28.27,0.82,28.29,27.46,20.08,86.19,3.2
2001,10,2,28.37,25.45,26.9,28.51,0.33,28.56,28.23,20.2,84.12,16.42
2001,10,3,28.58,25.42,27,28.9,0.84,28.9,28.05,20.2,83,8.91
2001,10,4,28.26,25.15,26.7,29.17,0.73,28.55,27.82,19.9,83.19,6.27
2001,10,5,28.71,25.76,27.23,29.21,0.57,28.9,28.33,20.63,84,4.75
2001,10,6,28.4,24.79,26.59,28.44,0.48,28.58,28.1,19.47,80.69,2.81
2001,10,7,28.1,24.94,26.52,27.97,0.53,28.31,27.78,19.65,82.88,1.36
2001,10,8,28.11,23.84,25.98,28.12,0.39,28.31,27.92,18.37,77.62,0.42
2001,10,9,27.87,23.56,25.72,28.31,0.28,28.04,27.75,18.07,77.38,0
2001,10,10,28.26,24.13,26.2,28.25,0.41,28.46,28.05,18.68,78.25,4.21
2001,10,11,27.95,24.58,26.26,28.13,0.62,28.22,27.59,19.23,81.88,7.53
2001,10,12,27.63,23.01,25.32,28.26,0.48,27.89,27.41,17.46,75.88,0.16
2001,10,13,27.45,21.98,24.72,28.22,0.62,27.71,27.1,16.42,72,1.38
2001,10,14,27.34,22,24.67,28.23,0.7,27.72,27.02,16.48,72.56,1.55
2001,10,15,27.27,22.71,24.99,28.33,0.73,27.57,26.84,17.21,76.12,2.08
2001,10,16,27.46,24.08,25.77,28.34,1.09,27.87,26.77,18.74,81.75,2.45
2001,10,17,27.76,24.35,26.06,28.1,0.75,28.14,27.39,19.04,81.62,7.93
2001,10,18,27.16,22.98,25.08,27.81,0.37,27.3,26.94,17.4,77.88,1.36
2001,10,19,27.37,23.01,25.19,27.67,0.42,27.53,27.11,17.4,77.06,0.71
2001,10,20,27.21,23.56,25.38,27.54,0.34,27.34,27.01,18.01,80.38,0.74
2001,10,21,27.62,24.58,26.1,27.57,0.62,27.88,27.26,19.17,83.44,1.51
2001,10,22,27.89,24.58,26.23,27.78,0.4,28.05,27.65,19.17,82.12,1.08
2001,10,23,27.97,24.46,26.22,28.16,0.34,28.1,27.76,19.04,81.12,1.57
